Algoritmo,BER,Repeticao,Bytes_TCP,Bytes_Totais,Eficiencia,Vazao_TCP_Mbps
reno,1e-06,1,560856000,562190252,0.9976,147.0
reno,1e-06,2,582177880,583469332,0.9978,153.0
reno,1e-06,3,590412936,591724132,0.9978,149.0
reno,1e-06,4,588911112,590253398,0.9977,154.0
reno,1e-06,5,567019576,568319974,0.9977,149.0
reno,1e-06,6,579769200,581089366,0.9977,152.0
reno,1e-06,7,590425920,591769812,0.9977,154.0
reno,1e-06,8,580022584,581342414,0.9977,153.0
cubic,1e-06,1,564980728,566257142,0.9977,150.0
cubic,1e-06,2,583276208,584556914,0.9978,154.0
cubic,1e-06,3,571178168,572424750,0.9978,151.0
cubic,1e-06,4,567575544,568842086,0.9978,150.0
cubic,1e-06,5,582233648,583521520,0.9978,154.0
cubic,1e-06,6,565574408,566807718,0.9978,150.0
cubic,1e-06,7,593228312,594510464,0.9978,157.0
cubic,1e-06,8,581277968,582542724,0.9978,154.0
