exp_id,repeticao,algoritmoTcp,ber,udp_load,vazao_mbps,bytes_mbytes,duracao_sec
TCP_reno_BER_1e-06,1,reno,1e-06,900,150.0,538.0,30.1832
TCP_reno_BER_1e-06,2,reno,1e-06,900,153.0,552.0,30.186
TCP_reno_BER_1e-06,3,reno,1e-06,900,145.0,521.0,30.1765
TCP_reno_BER_1e-06,4,reno,1e-06,900,146.0,542.0,31.2096
TCP_reno_BER_1e-06,5,reno,1e-06,900,143.0,517.0,30.2235
TCP_reno_BER_1e-06,6,reno,1e-06,900,149.0,537.0,30.2364
TCP_reno_BER_1e-06,7,reno,1e-06,900,153.0,551.0,30.244
TCP_reno_BER_1e-06,8,reno,1e-06,900,145.0,523.0,30.2213
TCP_reno_BER_1e-05,1,reno,1e-05,900,164.0,590.0,30.1422
TCP_reno_BER_1e-05,2,reno,1e-05,900,152.0,550.0,30.2267
TCP_reno_BER_1e-05,3,reno,1e-05,900,144.0,519.0,30.2539
TCP_reno_BER_1e-05,4,reno,1e-05,900,148.0,531.0,30.2044
TCP_reno_BER_1e-05,5,reno,1e-05,900,149.0,536.0,30.1756
TCP_reno_BER_1e-05,6,reno,1e-05,900,148.0,532.0,30.1733
TCP_reno_BER_1e-05,7,reno,1e-05,900,142.0,513.0,30.2876
TCP_reno_BER_1e-05,8,reno,1e-05,900,151.0,542.0,30.1744
TCP_cubic_BER_1e-06,1,cubic,1e-06,900,148.0,532.0,30.1174
TCP_cubic_BER_1e-06,2,cubic,1e-06,900,150.0,537.0,30.1089
TCP_cubic_BER_1e-06,3,cubic,1e-06,900,149.0,535.0,30.1047
TCP_cubic_BER_1e-06,4,cubic,1e-06,900,151.0,543.0,30.1426
TCP_cubic_BER_1e-06,5,cubic,1e-06,900,149.0,535.0,30.1359
TCP_cubic_BER_1e-06,6,cubic,1e-06,900,145.0,520.0,30.091
TCP_cubic_BER_1e-06,7,cubic,1e-06,900,150.0,538.0,30.0739
TCP_cubic_BER_1e-06,8,cubic,1e-06,900,149.0,534.0,30.1158
TCP_cubic_BER_1e-05,1,cubic,1e-05,900,145.0,522.0,30.1576
TCP_cubic_BER_1e-05,2,cubic,1e-05,900,141.0,506.0,30.1614
TCP_cubic_BER_1e-05,3,cubic,1e-05,900,150.0,537.0,30.1166
TCP_cubic_BER_1e-05,4,cubic,1e-05,900,147.0,527.0,30.1459
TCP_cubic_BER_1e-05,5,cubic,1e-05,900,141.0,524.0,31.1176
TCP_cubic_BER_1e-05,6,cubic,1e-05,900,149.0,536.0,30.0908
TCP_cubic_BER_1e-05,7,cubic,1e-05,900,146.0,525.0,30.1309
TCP_cubic_BER_1e-05,8,cubic,1e-05,900,146.0,526.0,30.1169
